mass [GeV]                    lifetime [cm]                 optimal pt Cut                optimal Ias Cut               min. excluded xsection [pb]   actual xsection [pb]          
100                           1                             30                            0.05                          68.0770                       5.8234                        
200                           1                             50                            0.05                          35.1419                       0.3792                        
300                           1                             0                             0.0                           10000.0000                    0.0675                        
400                           1                             0                             0.0                           10000.0000                    0.0175                        
500                           1                             0                             0.0                           10000.0000                    0.0055                        
100                           5                             30                            0.05                          2.5940                        5.8234                        
200                           5                             30                            0.30                          1.9627                        0.3792                        
300                           5                             50                            0.30                          0.9624                        0.0675                        
400                           5                             30                            0.30                          0.8919                        0.0175                        
500                           5                             30                            0.30                          0.8811                        0.0055                        
100                           10                            50                            0.30                          1.1716                        5.8234                        
200                           10                            50                            0.30                          0.4603                        0.3792                        
300                           10                            50                            0.30                          0.3117                        0.0675                        
400                           10                            50                            0.30                          0.1969                        0.0175                        
500                           10                            50                            0.30                          0.1815                        0.0055                        
100                           50                            50                            0.30                          0.3085                        5.8234                        
200                           50                            50                            0.30                          0.0913                        0.3792                        
300                           50                            50                            0.30                          0.0590                        0.0675                        
400                           50                            50                            0.40                          0.0365                        0.0175                        
500                           50                            50                            0.40                          0.0312                        0.0055                        
100                           100                           50                            0.30                          0.2813                        5.8234                        
200                           100                           50                            0.40                          0.0759                        0.3792                        
300                           100                           50                            0.40                          0.0434                        0.0675                        
400                           100                           50                            0.40                          0.0271                        0.0175                        
500                           100                           50                            0.40                          0.0238                        0.0055                        
